Name,Verb,Verb_Counts,Verb_Counts_Percentaje,Noun,Noun_Counts,Noun_Counts_Percentaje,Pron,Pron_Counts,Pron_Counts_Percentaje
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,become,107,0.8612363168061816,mother,241,0.6496482195325768,himself,65,0.6525449252083124
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,find,106,0.8531873792659369,home,214,0.5768660538588026,its,60,0.6023491617307499
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,start,106,0.8531873792659369,i,214,0.5768660538588026,your,58,0.582270856339725
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,felt,95,0.7646490663232454,margaret,199,0.5364315173733725,herself,50,0.5019576347756249
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,tell,95,0.7646490663232454,lindsay,198,0.5337358816076772,our,38,0.38148780242947494
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,be,104,10.77720207253886,life,255,4.0669856459330145,you,1363,35.58746736292428
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,’,57,5.9067357512953365,t,203,3.237639553429027,your,621,16.21409921671018
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,s,46,4.766839378238342,”,173,2.759170653907496,it,499,13.028720626631854
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,have,37,3.8341968911917097,’,173,2.759170653907496,we,281,7.336814621409921
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,do,35,3.626943005181347,“,125,1.9936204146730463,what,211,5.509138381201044
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,get,34,3.523316062176166,i,124,1.977671451355662,they,168,4.386422976501305
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,win,22,2.2797927461139897,things,105,1.674641148325359,our,136,3.5509138381201044
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,come,16,1.6580310880829014,time,86,1.3716108452950557,yourself,101,2.637075718015666
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,wire,15,1.5544041450777202,way,79,1.2599681020733653,them,78,2.0365535248041775
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,say,14,1.450777202072539,thoughts,74,1.1802232854864434,my,56,1.4621409921671018
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,lose,12,1.2435233160621761,people,71,1.1323763955342903,their,48,1.2532637075718016
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,go,12,1.2435233160621761,s,64,1.0207336523125996,us,44,1.1488250652741514
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,become,11,1.1398963730569949,something,57,0.9090909090909091,who,39,1.0182767624020888
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,find,9,0.9326424870466321,thing,50,0.7974481658692185,he,39,1.0182767624020888
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,put,9,0.9326424870466321,day,43,0.6858054226475279,s,36,0.9399477806788512
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,start,8,0.8290155440414507,reality,40,0.6379585326953748,his,25,0.6527415143603134
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,want,8,0.8290155440414507,moment,38,0.6060606060606061,me,20,0.5221932114882507
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,take,8,0.8290155440414507,problems,36,0.5741626794258373,ourselves,17,0.44386422976501305
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,think,8,0.8290155440414507,mind,35,0.5582137161084529,its,13,0.3394255874673629
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,tell,7,0.7253886010362695,world,33,0.5263157894736842,itself,8,0.20887728459530025
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",be,763,13.65670306067657,”,1464,3.2535502366824454,it,1467,19.562608347779705
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",have,193,3.4544478253087525,’,1028,2.284596750894504,you,1211,16.148819842645686
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",s,179,3.2038661177734027,“,814,1.8090094895215236,we,943,12.575010001333512
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",know,131,2.34472883479506,time,521,1.1578549681089851,what,458,6.107480997466329
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",do,107,1.9151601933058886,s,517,1.1489654865879948,they,450,6.000800106680891
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",’,100,1.7898693395382137,problem,426,0.9467297819854656,he,359,4.787304973996533
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",call,91,1.6287810989797744,t,416,0.92450607818299,your,352,4.693959194559275
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",give,88,1.575085018793628,computer,292,0.6489321510322911,their,300,4.000533404453927
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",use,86,1.539287632002864,number,221,0.49114385403471345,his,275,3.6671556207494334
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",find,80,1.431895471630571,people,212,0.4711425206124853,our,259,3.453793839178557
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",make,64,1.1455163773044568,way,208,0.462253039091495,them,236,3.1470862781704225
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",write,59,1.056022910327546,problems,195,0.4333622241482766,us,227,3.027070276036805
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",see,55,0.9844281367460176,%,176,0.3911371869235727,its,221,2.9470596079477263
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",come,55,0.9844281367460176,things,169,0.37558059426183965,who,180,2.400320042672356
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",”,50,0.8949346697691068,science,161,0.3578016312198591,itself,66,0.8801173489798639
